City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
238,candido mendes,-1.4467,-45.7167,75.65,94,100,0.74,BR,1680372668
239,lompoc,34.6391,-120.4579,62.01,69,0,10.36,US,1680372446
240,sinnamary,5.3833,-52.95,81.12,70,36,12.55,GF,1680372669
241,mosquera,4.7059,-74.2302,62.69,63,75,4.61,CO,1680372378
242,codrington,-38.2667,141.9667,54.32,68,45,3.53,AU,1680372670
243,zhezkazgan,47.8043,67.7144,38.46,34,0,21.52,KZ,1680372671
244,dolores,-36.3132,-57.6792,72.86,23,49,4.61,AR,1680372593
245,ukiah,39.1502,-123.2078,50.85,89,100,0.0,US,1680372672
246,sao filipe,14.8961,-24.4956,79.68,60,0,6.78,CV,1680372674
247,gubkinskiy,64.434,76.5026,34.54,87,100,25.3,RU,1680372676
248,arica,-18.475,-70.3042,80.83,54,0,11.5,CL,1680372677
249,tessalit,20.1986,1.0114,87.08,5,0,8.1,ML,1680372678
250,alofi,-19.0595,-169.9187,80.22,77,47,18.39,NU,1680372678
251,bosaso,11.2842,49.1816,83.32,72,65,2.46,SO,1680372679
252,xining,36.6167,101.7667,44.15,52,100,7.25,CN,1680372680
253,katherine,-14.4667,132.2667,75.52,78,82,3.44,AU,1680372681
254,ada,43.4166,-116.1262,46.65,77,75,12.66,US,1680372683
255,medina,24.4686,39.6142,79.23,11,0,4.61,SA,1680372373
256,mayor pablo lagerenza,-19.9309,-60.7718,96.64,33,38,3.51,PY,1680372684
257,georgetown,5.4112,100.3354,84.13,74,20,0.0,MY,1680372643
258,port blair,11.6667,92.75,79.59,73,36,2.84,IN,1680372685
259,puerto ayacucho,5.6639,-67.6236,77.2,82,100,6.31,VE,1680372685
260,zaria,11.1113,7.7227,84.69,11,62,10.25,NG,1680372686
261,bandarbeyla,9.4942,50.8122,81.61,71,26,9.78,SO,1680372687
262,churachandpur,24.3333,93.6667,56.73,97,84,2.1,IN,1680372688
263,west wendover,40.7391,-114.0733,52.81,28,0,9.22,US,1680372628
264,kinel-cherkassy,53.4706,51.4743,41.59,77,100,7.78,RU,1680372436
